eo_number,document_number,authority,source_quote,quote_trimmed
14272,2025-06836,Section 232 of the Trade Expansion Act of 1962,"In light of the above risks and realities, an investigation under section 232 of the Act (section 232) is necessary …",0
14273,2025-06837,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14273,2025-06837,Social Security Act (42 U.S.C. 1320f-1320f-7),consistent with sections 1191 to 1198 of the Social Security Act (42 U.S.C. 1320f-1320f-7),0
14275,2025-06839,Administrator of the Office of Federal Public Procurement Policy,"Within 180 days of the date of this order, the Administrator",1
14275,2025-06839,Director of the Office of Management and Budget,"Within 20 days of the date of this order, the Director of",1
14276,2025-07062,delegates_authority,"The Secretary of Commerce, in consultation with the Secretary of Health and Human Services and with input from the United States fishing industry, shall immediately consider suspending, revising, or rescinding regulations that overly burden America's commercial fishing, aquaculture, and fish processing industries at the fishery‑specific level",0
14276,2025-07062,delegates_authority,The Secretary of Commerce shall direct the National Marine Fisheries Service to incorporate less expensive and more reliable technologies and cooperative research programs into fishery assessments,0
14276,2025-07062,delegates_authority,The Secretary of Commerce shall consider,1
14277,2025-07368,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14278,2025-07369,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14279,2025-07376,the Constitution,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
14279,2025-07376,"Higher Education Act of 1965, section 487A(b)",pursuant to section 487A(b) of the Higher Education Act of 1965 (20 U.S.C. 1094a(b)),0
14280,2025-07377,Executive Order of January 29 2025,"The definitions in the Executive Order of January 29, 2025 (Ending Radical Indoctrination in K‑12 Schooling), shall apply to this order",0
14281,2025-07378,"Presidential approvals of Title VI regulations (1966, 1973) – revoked","the Presidential approval of July 25, 1966, of the Department of Justice Title VI regulations",1
14282,2025-07379,Section 117 of the Higher Education Act of 1965 (20 U.S.C. §1011f),"Section 117 of the Higher Education Act of 1965, 20 U.S.C. 1011f, requires institutions of higher education to report significant sources of foreign funding",0
14282,2025-07379,31 U.S.C. §3729,certification of compliance ... is material for purposes of 31 U.S.C. 3729,0
14283,2025-07380,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14284,2025-07469,Director of the Office of Personnel Management (OPM),The Director of OPM shall within 30 days of the date of this order prepare and publish a rule rescinding subpart H and making conforming amendments.,0
14285,2025-07470,Deep Seabed Hard Mineral Resources Act (30 U.S.C. 1401 et seq.),under the Deep Seabed Hard Mineral Resources Act (30 U.S.C. 1401 et seq.),0
14285,2025-07470,Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.),under the Outer Continental Shelf Lands Act (43 U.S.C. 1331 et seq.),0
14285,2025-07470,Strategic and Critical Materials Stock Piling Act (50 U.S.C. 98 et seq.),under the Strategic and Critical Materials Stock Piling Act (50 U.S.C. 98 et seq.),0
14285,2025-07470,Defense Production Act (50 U.S.C. 4501 et seq.),the Defense Production Act (50 U.S.C. 4501 et seq.),0
14286,2025-07786,Presidential constitutional and statutory authority,"the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered:",0
14287,2025-07789,Attorney General and Secretary of Homeland Security,Immediately following each publication ... the Attorney General and the Secretary of Homeland Security shall notify each sanctuary jurisdiction regarding its defiance of Federal immigration law enforcement and any potential violations of Federal criminal law,0
14287,2025-07789,Heads of executive departments or agencies,"the head of each executive department or agency ... shall identify appropriate Federal funds to sanctuary jurisdictions, including grants and contracts, for suspension or termination",0
14287,2025-07789,Attorney General and Secretary of Homeland Security,the Attorney General and the Secretary of Homeland Security shall pursue all necessary legal remedies and enforcement measures to end these violations and bring such jurisdictions into compliance with the laws of the United States,0
14287,2025-07789,Secretary of Homeland Security and Attorney General,"the Secretary of Homeland Security, in coordination with the Attorney General, shall develop guidance, rules, or other appropriate mechanisms to ensure",1
14287,2025-07789,Attorney General (in consultation with the Secretary of Homeland Security and appropriate agency heads),"the Attorney General, in consultation with the Secretary of Homeland Security and appropriate agency heads, shall identify and take appropriate action to stop the enforcement of State and local laws ... favoring aliens",0
14288,2025-07790,Attorney General,The Attorney General shall take all appropriate action to create a mechanism to provide legal resources and indemnification to law enforcement officers ...,0
14288,2025-07790,Attorney General and heads of executive departments and agencies,The Attorney General and other appropriate heads of executive departments and agencies (agencies) shall take all appropriate action to maximize the use of Federal resources ...,0
14288,2025-07790,Attorney General and Secretary of Defense (with DHS and other heads),"The Attorney General and the Secretary of Defense, in consultation with the Secretary of Homeland Security and the heads of agencies as appropriate, shall increase the provision of excess military and national security assets ...",0
14288,2025-07790,Secretary of Defense,"The Secretary of Defense, in coordination with the Attorney General, shall determine how military and national security assets ... can most effectively be utilized to prevent crime.",0
14288,2025-07790,Attorney General,The Attorney General shall pursue all necessary legal remedies and enforcement measures to enforce the rights of Americans impacted by crime ...,0
14288,2025-07790,Attorney General and Secretary of Homeland Security,The Attorney General and the Secretary of Homeland Security shall utilize the Homeland Security Task Forces (HSTFs) formed in accordance with Executive Order 14159 ...,0
14289,2025-07835,non‑stacking of tariffs,shall not be subject to additional tariffs on that article pursuant to the actions listed in sections 2(b) through 2(e) of this order.,0
