eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
14335,2025-15822,60 days from order date,2025-10-12,Secretary of Commerce,"Within 60 days of the date of this order, the Secretary of Commerce shall elevate the Office of Space Commerce into the Office of the Secretary.",0
14336,2025-15823,30 days after the order date,,ASPR,"Within 30 days of the date of this order, the ASPR shall develop a list … shall be provided to the Director of the Office of Management and Budget (OMB).",0
14336,2025-15823,120 days after the order date,,ASPR,Within 120 days of the date of this order … the ASPR shall … take all measures to ready the existing SAPIR repository …,0
14336,2025-15823,30 days after the repository is certified ready,,ASPR,The ASPR shall place such APIs within the SAPIR repository no later than 30 days after the repository is certified by the ASPR as ready to receive and maintain APIs.,0
14336,2025-15823,90 days after the order date,,ASPR,"Within 90 days of the date of this order, the ASPR shall provide the APHSA, the APEP, and the OMB with an update",1
14336,2025-15823,1 year after the order date,,ASPR,The plan … shall include a proposal and cost estimate for opening a second SAPIR repository … within 1 year of the date of this order.,0
14342,2025-16618,30 days after the order date,,Attorney General,"Within 30 days of the date of this order, the Attorney General shall submit to the President",1
14343,2025-16924,Orders issued under EO 14251 must be issued within 15 days of EO 14343 to remain effective,,,shall have full force and effect if it is issued prior to the date that is 15 days from the date of this order,0
14344,2025-16928,30‑day notice to the President before GSA may reject a design that diverges from the preferred architecture,,Administrator of General Services,not less than 30 days before GSA could reject such design,0
14346,2025-17507,Effective date of the updated Annex II,2025-09-08T00:01:00-04:00,,shall be effective ... on or after 12:01 a.m. eastern daylight time 3 days after the date of this order,0
14347,2025-17508,30 days after September 5 2025 (by October 5 2025),2025-10-05,Secretary of War,"Within 30 days of the date of this order, the Secretary of War shall submit to the President,",0
14347,2025-17508,60 days after September 5 2025 (by November 4 2025),2025-11-04,Secretary of War,"Within 60 days of the date of this order, the Secretary of War shall submit to the President,",0
14349,2025-18479,within 30 days of its creation,2025-10-18,Board,The Board shall report to the President with respect to the disputes within 30 days of its creation.,0
14349,2025-18479,for 120 days from the date of the creation of the Board,2026-01-16,parties,"for 120 days from the date of the creation of the Board, no change in the conditions out of which the disputes arose shall be made by the parties to the controversy",0
14350,2025-18482,extension of the enforcement delay ends,2025-12-16,,"is further extended until December 16, 2025.",0
14351,2025-18602,within 90 days of the date of this order,2025-12-18,"Secretary of Commerce, Secretary of State, Secretary of Homeland Security","The Secretary of Commerce, the Secretary of State, and the Secretary of Homeland Security shall, within 90 days of the date of this order, take all necessary and appropriate steps to implement the Gold Card program",0
14352,2025-19139,120 days from the date of this order,,Attorney General,the Attorney General shall not take any action on behalf of the United States to enforce the Act for 120 days from the date of this order.,0
14354,2025-19485,continuance deadline for the listed advisory committees,2027-09-30,,"Each advisory committee listed below is continued until September 30, 2027.",0
14354,2025-19485,effective date of the order,2025-09-30,,"Sec. 4. This order shall be effective September 30, 2025.",0
14356,2025-19614,establish Strategic Hiring Committee,within 30 days of the date of this order,each agency head,"Within 30 days of the date of this order, each agency head shall establish a Strategic Hiring Committee",0
14356,2025-19614,prepare Annual Staffing Plan,within 60 days of the date of this order,each agency,"Within 60 days of the date of this order, each agency shall prepare an Annual Staffing Plan",0
14356,2025-19614,submit quarterly updates to OPM and OMB,beginning with the second quarter of the 2026 fiscal year,agencies,"Agencies shall submit updates to OPM and OMB at the beginning of each quarter, beginning with the second quarter of the 2026 fiscal year",0
14356,2025-19614,submit joint report to the President,within 180 days of the date of this order,Director of OMB and Director of OPM,"Within 180 days of the date of this order, the Director of OMB and the Director of OPM shall submit a joint report to the President",0
14357,2025-19825,Date the reduced 10 % duty rate becomes effective,2025-11-10,,"effective November 10, 2025",0
14357,2025-19825,Effective date for HTSUS amendment implementation,2025-11-10,Department of Homeland Security,"Effective with respect to goods entered for consumption, or withdrawn from warehouse for consumption, on or after 12:01 a.m. eastern standard time on November 10, 2025:",0
14358,2025-19826,Suspension of heightened reciprocal tariffs on PRC imports,2026-11-10,All agencies,"continue the suspension of the heightened reciprocal tariffs on imports of the PRC until 12:01 a.m. eastern standard time on November 10, 2026.",0
14358,2025-19826,Suspension of tariff line 9903.01.63 (v)(xvii)(10),2026-11-10,U.S. Customs (HTS administration),"shall continue to be suspended until 12:01 a.m. eastern standard time on November 10, 2026.",0
14359,2025-20406,All actions listed in Sec. 2(a) and Sec. 3 must be completed within 180 days of the order’s issuance (Nov 13 2025).,2026‑05‑11,Secretary of Health and Human Services,within 180 days of the date of this order,0
14360,2025-21203,effective date for tariff modifications,2025-11-13T00:01:00-05:00,,"shall be effective with respect to goods entered for consumption, or withdrawn from warehouse for consumption, on or after 12:01 a.m. eastern standard time on November 13, 2025",0
14361,2025-21417,Effective date for tariff modifications and updated Annex I,2025-11-13,,"on or after 12:01 a.m. eastern standard time on November 13, 2025",0
